Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.5845468158051416,0.28359791221570163,0.6652398212607636,0.3660269413514448
0.05,0.7470008364588895,0.6383752062092652,0.8237986562593892,0.7521749897740174
0.1,0.7076427056869873,0.6966005895556697,0.7974812854394006,0.7757666784940068
0.15,0.7272955622428784,0.7636368553425102,0.8071163275351757,0.8376645213159126
0.2,0.7043598684292347,0.678746247667469,0.7952451271823,0.7763795972702008
0.25,0.7738113025183068,0.7438732184871677,0.8471830670783551,0.8359124029531069
0.3,0.7168773033413544,0.8622278713795062,0.8003145196862474,0.9021879181103731
0.35,0.7332073208248869,0.852221651296752,0.8136074513037864,0.8969711626955926
0.4,0.7184221034419446,0.8599453714471158,0.8019830082657308,0.8996544541143512
0.5,0.7349733259790628,0.8879411526083782,0.8144359421846333,0.915978820989822
