Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.6124270202855615,0.5526300451697508,0.6992801388506881,0.647932259178791
0.05,0.5162710789977742,0.571353635436398,0.594106433225528,0.6258943533406018
0.1,0.654709998515071,0.7052892321142358,0.7669205307434771,0.7793588590747635
0.15,0.6186439968716846,0.8572053038030016,0.7344158122860096,0.8792778484486746
0.2,0.7109419846892947,0.803584438292292,0.8100059751320694,0.8471478164174475
0.25,0.7110059060490663,0.8119044149788722,0.809514686495253,0.8439476917791692
0.3,0.7160192516752523,0.8934285297974647,0.8136024355776436,0.8949482394555608
0.35,0.7134776348648336,0.8815241148185925,0.8124643151834745,0.8930743217092947
0.4,0.7519597139764242,0.8487250473553839,0.8402401434031697,0.8752369551516955
0.5,0.7770351352381527,0.9056097916363106,0.8588578961844514,0.8975039053859334
