Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.4357515860592641,0.49190074906367043,0.4863214821821472,0.6118314193540508
0.05,0.6322000219870002,0.5598431647940075,0.6965310193086715,0.6827992626586292
0.1,0.6586636791294385,0.6957865168539326,0.7123974419608892,0.797508745257078
0.15,0.6965176432764764,0.6932155118601747,0.7548353930620386,0.7922774175496347
0.2,0.7281945984835538,0.7310900436953808,0.7803170816968601,0.8226217046227737
0.25,0.7351788097819145,0.779151061173533,0.78362361456684,0.8507688294798718
0.3,0.728950162175596,0.8267049001248439,0.7740433057103494,0.8793327230599429
0.35,0.7870406165989614,0.7637874531835206,0.8293989430610105,0.8413345956430575
0.4,0.7445901315112046,0.8475070224719101,0.7863564393082602,0.8899219340683292
0.5,0.7929526646095475,0.8623751560549313,0.8319179124426805,0.8978267861325054
