Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.8040793423229284,0.5194632005401756,0.8047476759628154,0.6749505582226251
0.05,0.8087487399472447,0.7230390501913122,0.7755685590969456,0.8272073879688698
0.1,0.7786577737292629,0.750202565833896,0.7352050132802125,0.8480972342463511
0.15,0.8363647583722706,0.7705941931127617,0.8069887118193891,0.8601893167027015
0.2,0.8589549270605606,0.799046252532073,0.8335159362549801,0.8779197138583829
0.25,0.8707690116316952,0.8161715057393653,0.8478253652058433,0.8891386012989075
0.3,0.8862113502008371,0.8542426288543777,0.8614832337317397,0.9102911412954481
0.35,0.8833109896211245,0.8608766599144723,0.8590637450199203,0.9129323175958236
0.4,0.9005647811046584,0.8250422012153951,0.8829556772908367,0.8936220773004516
0.5,0.9059821899869698,0.9033845374746793,0.8850348605577689,0.9349382615444226
