Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.8412019031071908,0.08197884106756433,0.9082687895343973,0.1477834237863972
0.05,0.5222468472538608,0.5660254868958884,0.6521575164475769,0.6619192414597932
0.1,0.7491914434427733,0.3998557345515749,0.8439825319761177,0.555294909459918
0.15,0.7230180991298983,0.6902139937484972,0.8269974774043886,0.7816780748004353
0.2,0.6291771895725532,0.6569127194037028,0.7513493985067248,0.72961336845094
0.25,0.6844900653890984,0.7326160134647751,0.7985048233549253,0.8118949808155661
0.3,0.7916116994674758,0.6990742967059389,0.8777694677196496,0.7849445810187662
0.35,0.6458042717726306,0.8072493387833614,0.7712924816509691,0.8561369525431002
0.4,0.7739089314380819,0.7543399855734552,0.8670775919986816,0.8284147640605201
0.5,0.6896184775976365,0.8126472709786006,0.8034105746193922,0.8615898093516254
