Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.4859377465719021,0.550643877312105,0.5929082037898559,0.5885607154920993
0.05,0.41578439694258446,0.6691173027394053,0.5151980029501873,0.7117692197589323
0.1,0.6563408420742207,0.5318660735190822,0.7822671054124589,0.6142003688843996
0.15,0.6857195191596508,0.500913135097167,0.8070032905934416,0.5758375285783849
0.2,0.6029973214825383,0.5397799110278624,0.7269828662203562,0.618792772936148
0.25,0.45866524710529766,0.7483025052680872,0.603753545898105,0.7672964851741952
0.3,0.6523583218537692,0.7857176305314915,0.7805196868262794,0.8038945241300534
0.35,0.5678857928295771,0.761180051510185,0.707727221150573,0.78928509061755
0.4,0.6258021132695726,0.7230625146335753,0.7597027119028708,0.7604492869171926
0.5,0.5878381003054955,0.75921329899321,0.7212209236355384,0.7828681738998035
