Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.6214916246564297,0.4666833683309116,0.6123851555777612,0.5721931068487561
0.05,0.6815963209210838,0.7100460510433226,0.6450251200488523,0.8238109302889887
0.1,0.7053840740107586,0.7704444312855575,0.6643583978682654,0.863156979840503
0.15,0.761540006028418,0.806473565061333,0.7299214478030366,0.8863846303277902
0.2,0.7798873488091559,0.841675510957051,0.7489160907097455,0.907856950660105
0.25,0.791747439037814,0.851698331503742,0.7625325450356677,0.9136391893600414
0.3,0.8136127498507663,0.8142899439279582,0.7948660726677215,0.8923611823164194
0.35,0.8289929049756276,0.8636451837714484,0.8079840119910068,0.9199972735993486
0.4,0.833258839568569,0.8858990885446322,0.8105354317595137,0.9310910957181759
0.5,0.8689031703801021,0.8967053689777215,0.85320676159547,0.9371644650778115
