Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.335960814177995,0.44604985213350234,0.4373445774810039,0.5625266675278964
0.05,0.4314010141972715,0.6441909590198563,0.5025040294727148,0.7123895166175067
0.1,0.44534697098521553,0.6308407266582171,0.5327481003914345,0.7121485699443563
0.15,0.4844945618110483,0.5804816223067174,0.5685816256044209,0.655606646653796
0.2,0.575242526488222,0.31905365441487116,0.7045302786092563,0.4663064113308439
0.25,0.7226068029256726,0.3204900718208703,0.8082517844807736,0.4499908074845758
0.3,0.47166188388303426,0.6441909590198563,0.6183686391895004,0.7123895166175067
0.35,0.46351047124043404,0.3594423320659062,0.5635994704121575,0.48464040010379106
0.4,0.3654721260789814,0.5678073510773131,0.4684492286437946,0.6496283853374408
0.5,0.5228401755067142,0.6377693282636249,0.6263728989177988,0.7192712445461572
