Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.5010363762043433,0.4824887592660105,0.6027926643394463,0.5892240302689531
0.05,0.5720145043293613,0.5265767407947503,0.6346182211514824,0.6234283523625831
0.1,0.6027691013841315,0.37822335642240856,0.6726584394513004,0.4792659475020319
0.15,0.7105663841454057,0.5203791469194313,0.7961502532081224,0.6589364366962296
0.2,0.49463230358013666,0.6413659010815409,0.601504498746251,0.7612393735764854
0.25,0.5975841899089857,0.5058208773848585,0.6970598357834702,0.6246519500406352
0.3,0.5293565810561144,0.5336735933892333,0.6564482029598309,0.6507455974418637
0.35,0.5132305249460715,0.64374772147284,0.6175377353852205,0.7550850751069841
0.4,0.7071156797403841,0.6545145218131,0.7975121687398593,0.7718959802995409
0.5,0.7264193934665352,0.6695345728521084,0.8138846550961207,0.7734990336448784
