Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.6031157891408988,0.3363219959068317,0.7176356570551264,0.4278134825476189
0.05,0.5498733522741572,0.5434168209726148,0.6557693230341122,0.6461223613788827
0.1,0.44355072231347065,0.39799239840171524,0.577440867437509,0.5344468636489709
0.15,0.5587136410253158,0.5303186823896306,0.6827750323849733,0.6267433323819128
0.2,0.5503808055214285,0.5049215476074457,0.6794703257688433,0.6476180569150131
0.25,0.5967592618552233,0.5966280089659877,0.7273789761550641,0.733636629849199
0.3,0.6349666081055876,0.6026508137608421,0.7605661373122871,0.7266644968014143
0.35,0.5462954501678848,0.8168989377253679,0.6791248860528715,0.8817943336036728
0.4,0.5522669153281357,0.6903225806451613,0.6897471573190039,0.7974521420922638
0.5,0.6503304918162108,0.6050872234674983,0.7740094995921892,0.73654120980611
