Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.5761697556959842,0.4432615677411681,0.6713291682104013,0.4957905361384422
0.05,0.5084838232040504,0.34565243249672895,0.6223820375267087,0.44474170032850635
0.1,0.5401424087074274,0.8648626144879267,0.6643222201357133,0.8727602084958834
0.15,0.7134177436940208,0.6430474604496254,0.8233453279399897,0.7357107295812084
0.2,0.6771177026857005,0.8867372427738789,0.7925738328097324,0.8867591978375048
0.25,0.7106326463157306,0.8342928511954324,0.8187389929605701,0.8600079545112523
0.3,0.6679237020817091,0.8751635541810396,0.785713053143382,0.8787574863830732
0.35,0.6732801695052643,0.8902938027833948,0.7892972243228292,0.8890575230276028
0.4,0.6870300156344704,0.8409539669323183,0.8002060568534205,0.8649684657374935
0.5,0.6922468874442363,0.8998215772570477,0.803245141676775,0.8935714174335467
