Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.5725873620241313,0.5340859956761951,0.6670203767781623,0.6423340643031858
0.05,0.630671711803032,0.506269517175114,0.7360246059207997,0.6137205649145604
0.1,0.5973787271218387,0.5826567379293779,0.7202947584262464,0.6768011646464898
0.15,0.7577776380785969,0.5193370165745856,0.8485890042291426,0.6332010208176595
0.2,0.7195327551241246,0.4258467451357194,0.8157939254133025,0.5210117355130207
0.25,0.6911086287309746,0.6780687004564017,0.8062514417531719,0.7495547783632756
0.3,0.775625661443316,0.60792697573865,0.8610124311162374,0.7136066784049836
0.35,0.6070603010848982,0.6780687004564017,0.7419069588619762,0.7495547783632756
0.4,0.6743635802168958,0.6780687004564017,0.7967038318595412,0.7495547783632756
0.5,0.7705101816021792,0.5885178957482584,0.8638805587594515,0.6722337202997732
