Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.7789122768489225,0.7101254722072315,0.7415433514745349,0.8095304544532879
0.05,0.7761549960633984,0.7763559093362116,0.7379450966281353,0.8649411533919157
0.1,0.7960502355099165,0.7475242849433351,0.7721195220318146,0.8416191897831208
0.15,0.8209940312100061,0.8293757870120525,0.7914211607370425,0.8977589926531311
0.2,0.8346106500633343,0.8576115308508724,0.8062939474354938,0.9119902983234924
0.25,0.8361577445111551,0.8777095700665587,0.8052414578929219,0.9227946239362085
0.3,0.8513501431379776,0.8578678719194099,0.8275176539378402,0.913490823704195
0.35,0.8675932859492586,0.871856449001619,0.8459767012998696,0.9193225717016431
0.4,0.8937805434176633,0.8812016549739161,0.8776593352224171,0.9261007968610442
0.5,0.8905495083780087,0.9104717575103436,0.8716862321773939,0.9393185048242574
