,Accuracy,,Sensitivity,,Specificity,,Dice,
Percentage,Mean,Std,Mean,Std,Mean,Std,Mean,Std
0.35,79.23533019212904,5.355761079841571,99.99477214389151,0.006316842570220807,84.90618694898272,4.327388262949194,0.8807311172280513,0.0009236179270430506
0.4,81.76629505720342,3.7113931402326776,99.99477214389151,0.006316842570220807,86.98283868547351,2.9190232100678464,0.8807311172280513,0.0009236179270430506
0.5,93.71417941271127,2.2191153729749074,99.91844544470759,0.10437136827475894,95.79209996965163,1.5262359399572412,0.8808361579946227,0.0013382753125726855
