Percentage,Accuracy,Sensibility,Specificity,Dice
0.01,0.680054457694419,0.7080370385888465,0.6067411083540116,0.8080596553906181
0.05,0.7880410994557773,0.8085574223823689,0.744134270747174,0.8854080900676902
0.1,0.8521215495425314,0.7899509783382913,0.8317617866004963,0.8759087674150602
0.15,0.8508002291526737,0.7911107386768341,0.8308978954140245,0.8757057316616795
0.2,0.8653848925276568,0.8285096576863452,0.8449131513647643,0.8979587005156229
0.25,0.8923784499693181,0.8142104160556417,0.8788392610973256,0.8893733556646833
0.3,0.911483735967183,0.8336045585955504,0.9006042643139417,0.9021033270649154
0.35,0.9013105043154123,0.856947249340093,0.8867153754250529,0.9131747567068494
0.4,0.893597056300127,0.8696426027569447,0.8763532763532763,0.9184647901407025
0.5,0.9130922559422094,0.8968249046801022,0.8984950831725025,0.9338016843956877
